feature_id,Adipocyte,Cardiomyocyte,Cycling cells,Endothelial,Fibroblast,Lymphoid,Mast,Myeloid,Neuronal,Pericyte,vSMCs
ENSG00000165288,0.0005258472,0.42497402,0.35367674,0.22081567,0.29002067,0.24072891,0.2786611,0.29134065,0.2532226,0.22701254,0.22766022
ENSG00000198157,0.00052697706,0.004540416,0.040200725,0.049165893,0.09442967,0.025153622,0.059209954,0.030152332,0.04028504,0.059506807,0.06923817
ENSG00000131171,0.0005366162,0.030895138,1.01676,0.21069916,0.3258226,0.22080164,0.4715357,0.81221825,0.21047677,0.25316906,0.59301215
ENSG00000288059,0.0005319406,0.00030519092,0.00053944974,0.0014504662,0.0036115611,0.00052549073,0.0005427348,0.03699392,0.00053629914,0.007081435,0.0005228443
ENSG00000072133,0.000543611,0.026933571,0.040924795,0.0029175587,0.010810407,0.011769099,0.00053580257,0.002420024,0.026698053,0.0023132805,0.07092401
ENSG00000165259,0.35610542,0.14857496,0.39788255,0.15268303,0.13998714,0.020373756,0.125386,0.16650559,0.1070603,0.12389177,0.15695642
ENSG00000155008,0.32040107,0.49454972,0.15348059,0.08249509,0.11068229,0.092284895,0.08526334,0.10045225,0.042368177,0.062842384,0.10581701
ENSG00000124429,0.0005337914,0.099303424,0.00054280437,0.11361305,0.0015635107,0.01972625,0.057135325,0.0022524914,0.012278082,0.0019963789,0.016880399
ENSG00000188419,0.31214535,0.49129814,0.23654935,0.15842463,0.2189932,0.14024936,0.08674968,0.2551114,0.2200879,0.14332771,0.16711603
ENSG00000126733,0.0005373595,0.0022936861,0.04237448,0.005704999,0.0018542451,0.0005365091,0.0005513805,0.0022366813,0.0005252063,0.0023355263,0.0005340525
ENSG00000102271,0.000523016,0.003276115,0.040350243,0.2544368,0.06993869,0.00052003784,0.0005329053,0.0020704581,0.039797183,0.0033336086,0.00052404316
ENSG00000102290,0.0005354845,0.011210195,0.0005367653,0.026627218,0.0022883504,0.00052864646,0.0005319542,0.0004934551,0.0005253589,0.016731871,0.027009353
ENSG00000179083,0.0005399973,0.018748203,0.0005259421,0.001421183,0.0014845745,0.013289907,0.00052739313,0.0027338448,0.00052520155,0.0023734896,0.0005292793
ENSG00000147202,0.99382514,2.2524035,2.4017122,0.9138375,1.3041309,0.69320685,0.81039727,1.625137,0.21429858,1.650059,1.2158805
ENSG00000236256,0.00053941447,0.2670382,0.123637214,0.091655195,0.19148807,0.03097357,0.049737543,0.108796254,0.023429338,0.22340247,0.11904682
ENSG00000102359,1.1738461,0.008015542,0.062172767,0.024982536,0.48901406,0.03000648,0.08762397,0.026352305,0.19319727,0.07242705,0.10909844
ENSG00000102362,0.0005291814,0.0023672276,0.0005367511,0.055478886,0.13808252,0.025037795,0.18938996,0.004061681,0.06465444,0.018948963,0.05981012
ENSG00000188917,0.34367248,0.1951473,0.15614805,0.04405398,0.06544782,0.120768584,0.08722838,0.07705177,0.029040176,0.031005094,0.05852071
ENSG00000102384,0.00053973607,0.0071003167,0.6134712,0.0020149464,0.003306228,0.0005269596,0.06219282,0.008143716,0.043017566,0.01063655,0.040041137
ENSG00000241343,0.0005216993,0.11197104,0.24450417,0.13376874,0.11071111,0.09907513,0.15716468,0.11605989,0.090051286,0.090645775,0.14532213
ENSG00000126945,0.00054392044,0.113660805,0.00052888127,0.032334067,0.037395854,0.027649755,0.08623884,0.044116978,0.010835136,0.028883293,0.024313655
ENSG00000196440,0.823684,0.54650044,0.23058495,0.30876625,0.53259385,0.086059466,0.30917192,0.24503832,0.40405965,0.29348022,0.35017902
ENSG00000126947,0.0005391479,0.058226794,0.03836127,0.017117577,0.024745356,0.00051712274,0.058522295,0.027133482,0.06685226,0.015056469,0.046585817
ENSG00000102401,0.00054657075,0.20715863,0.0792174,0.05234534,0.08379336,0.048982862,0.21547107,0.079560205,0.05755238,0.06313874,0.09412525
ENSG00000166432,0.32326037,0.76732093,0.17235236,0.113976605,0.1098266,0.07240782,0.051289815,0.12361112,0.19502465,0.06713219,0.06303359
ENSG00000270050,0.00054199714,0.12659153,0.079158604,0.035401978,0.10503137,0.022190364,0.1558133,0.028843563,0.029264346,0.047293507,0.08741943
ENSG00000198932,0.0005537084,0.06583654,0.058749814,0.018477572,0.04458516,0.023930836,0.12086505,0.0076622604,0.02494571,0.018708237,0.068141006
ENSG00000223546,0.52504957,0.22150604,0.08253422,0.09649782,0.094055764,0.02961076,0.088449866,0.063904986,0.029769871,0.057353582,0.026054068
ENSG00000102409,0.0005433209,0.20754965,0.08046364,0.0155978305,0.026642075,0.022106461,0.088937536,0.03599879,0.01591256,0.018872445,0.025447387
ENSG00000180964,0.00055096095,0.03917928,0.0005390555,0.018597893,0.022240102,0.0005197528,0.055267815,0.02996015,0.03536059,0.026304157,0.05532506
ENSG00000185222,0.0005330297,0.15546492,0.10542804,0.08694671,0.091870196,0.015842034,0.1534589,0.057195168,0.075759985,0.05461074,0.054425113
ENSG00000166681,0.0005391441,0.26473162,0.03789354,0.06334003,0.077703185,0.023845581,0.05480782,0.025592959,0.03835817,0.06903186,0.11596114
ENSG00000281091,0.0005275337,0.0016906593,0.0005288214,0.0028726652,0.007016363,0.00052156893,0.00054026744,0.003452193,0.012720754,0.003899789,0.030401247
ENSG00000133142,0.0005470487,0.18131389,0.12754674,0.0546166,0.07148148,0.021765385,0.15738189,0.049352653,0.08007314,0.069497235,0.08558782
ENSG00000196507,0.00052916014,0.117722526,0.12447733,0.035937723,0.04688017,0.030785136,0.0005515741,0.039282974,0.057994578,0.021483999,0.05711741
ENSG00000172465,0.00053383975,0.07646724,0.039475784,0.01091295,0.011811426,0.017154166,0.00052480825,0.022764977,0.037580416,0.009817727,0.047832023
ENSG00000123562,1.3270502,1.0677711,0.34620547,0.14528748,0.3979242,0.17419678,0.2116131,0.20593822,0.30313852,0.19153391,0.29530275
ENSG00000123560,0.00053377275,0.00881599,0.041311372,0.0018295668,0.0039984896,0.012575971,0.0005349747,0.0033304093,0.40844604,0.0037895325,0.0005272952
ENSG00000123570,0.000538526,0.41044208,0.0005355454,0.02821425,0.024651604,0.02266625,0.055524286,0.009329925,0.036767412,0.022629729,0.035409283
ENSG00000231728,0.00054038886,0.001930718,0.04161462,0.035525206,0.029427586,0.04308377,0.00053675973,0.004273421,0.058497068,0.03024773,0.018091094
ENSG00000269743,0.509483,0.2796314,0.10590688,0.07339381,0.08529077,0.115531325,0.086440854,0.07457491,0.06346126,0.05952844,0.034141105
ENSG00000123575,0.49247792,0.19838926,0.062544525,0.0680684,0.062461045,0.028759575,0.12109811,0.087452725,0.043823358,0.051166486,0.067531824
ENSG00000189108,0.000546337,0.026547633,0.0005356906,0.006842533,0.004480993,0.011658789,0.00054219645,0.0035622458,1.1604383,0.47783175,0.6046561
ENSG00000123572,0.00052869983,0.0051399963,0.037016284,0.006764848,0.49535105,0.02234188,0.0005234055,0.017474953,0.016808622,0.075307615,0.13470855
ENSG00000157502,0.0005387213,0.12525962,0.0005345452,0.043368135,0.006305587,0.01221435,0.0005410228,0.0040250383,0.011143416,0.008876907,0.0005247437
ENSG00000133138,0.00053031725,0.018647345,0.038701303,0.038514998,0.109751604,0.011512333,0.056295373,0.03303397,0.017842699,0.024697572,0.047394652
ENSG00000133131,0.00054189755,0.14210242,0.15140584,0.067318365,0.17438234,0.028924972,0.05600139,0.040787105,0.09911375,0.038874973,0.09907014
ENSG00000165376,0.36750072,0.002777905,0.0005418136,0.00044258535,0.0031308257,0.00053409,0.0005275865,0.0005000282,0.0005232681,0.0023060679,0.0005304273
ENSG00000089682,0.00053447124,0.40007716,0.23517331,0.10493403,0.1546174,0.050069205,0.2097233,0.16805701,0.10352816,0.079690285,0.09512115
ENSG00000147234,0.00054434,0.0015626918,0.00052679767,0.0014457318,0.005529036,0.019420955,0.0005286208,0.0022337127,0.0132417455,0.002427769,0.00051858043
ENSG00000157514,0.3378294,0.09509175,0.31061015,0.20536506,0.15486589,0.23935114,0.35121378,0.21573485,0.08350864,0.07566133,0.11914977
